year,region,housing_starts_saar,housing_starts_growth_pct
1990,Alberta,17620.583333333332,
1991,Alberta,12225.333333333334,-30.619020369170514
1992,Alberta,18505.083333333332,51.366697567891784
1993,Alberta,18196.416666666668,-1.6680101413575454
1994,Alberta,17672.0,-2.881977678755443
1995,Alberta,13967.75,-20.96112494341331
1996,Alberta,16433.75,17.654955164575536
1997,Alberta,23800.583333333332,44.827463806698596
1998,Alberta,27073.666666666668,13.752113918776509
1999,Alberta,25253.083333333332,-6.724553994656568
2000,Alberta,26301.5,4.151638248794698
2001,Alberta,29081.0,10.567838336216573
2002,Alberta,38924.333333333336,33.84798780417915
2003,Alberta,36373.583333333336,-6.553098747141894
2004,Alberta,36293.916666666664,-0.2190234213016451
2005,Alberta,40729.833333333336,12.222204363908574
2006,Alberta,49074.166666666664,20.487030391318385
2007,Alberta,48556.0,-1.0558848002173549
2008,Alberta,29265.083333333332,-39.72921300491529
2009,Alberta,20021.666666666668,-31.585137009120643
2010,Alberta,27378.75,36.745608923666026
2011,Alberta,25543.166666666668,-6.704408832884379
2012,Alberta,33285.0,30.3088236253662
2013,Alberta,36111.833333333336,8.49281458114266
2014,Alberta,40563.666666666664,12.327907288008078
2015,Alberta,37520.5,-7.502198190498877
2016,Alberta,24619.083333333332,-34.3849806550197
2017,Alberta,29321.833333333332,19.102051592768476
2018,Alberta,26272.5,-10.399531634561276
2019,Alberta,27352.5,4.110762203825291
2020,Alberta,24200.083333333332,-11.525150047222986
2021,Alberta,31930.75,31.944793578534526
2022,Alberta,36432.416666666664,14.098217757699594
2023,Alberta,35944.25,-1.3399239230630133
2024,Alberta,47712.916666666664,32.741444505495764
2025,Alberta,55019.75,15.314161958239826
2026,Alberta,46708.0,-15.106847995492522
1990,British Columbia,37496.5,
1991,British Columbia,31504.0,-15.981491605883214
1992,British Columbia,40792.083333333336,29.482235060098194
1993,British Columbia,43143.25,5.763781779552812
1994,British Columbia,39399.583333333336,-8.677294053337814
1995,British Columbia,27299.333333333332,-30.711619200710672
1996,British Columbia,27565.833333333332,0.9762143153678959
1997,British Columbia,29313.0,6.338160162036344
1998,British Columbia,20274.333333333332,-30.835010632370174
1999,British Columbia,16328.166666666666,-19.46385413412689
2000,British Columbia,14444.083333333334,-11.538854127325981
2001,British Columbia,17243.833333333332,19.383369199614584
2002,British Columbia,21572.916666666668,25.105110039337752
2003,British Columbia,26337.333333333332,22.08517624336068
2004,British Columbia,32972.666666666664,25.19364147218144
2005,British Columbia,34425.666666666664,4.406680280636488
2006,British Columbia,36438.666666666664,5.847381314329425
2007,British Columbia,39480.75,8.348503421274112
2008,British Columbia,34230.0,-13.299519386029901
2009,British Columbia,15973.416666666666,-53.33503749147921
2010,British Columbia,26630.0,66.71448917733109
