year,region,median_after_tax_income,status
1976,Canada,64400.0,
1976,Newfoundland and Labrador,54900.0,
1976,Prince Edward Island,51200.0,
1976,Nova Scotia,52400.0,
1976,New Brunswick,55800.0,
1976,Quebec,62400.0,
1976,Ontario,68600.0,
1976,Manitoba,57000.0,
1976,Saskatchewan,58200.0,
1976,Alberta,66300.0,
1976,British Columbia,68800.0,
1977,Canada,65500.0,
1977,Newfoundland and Labrador,58200.0,
1977,Prince Edward Island,55500.0,
1977,Nova Scotia,54300.0,
1977,New Brunswick,56100.0,
1977,Quebec,63200.0,
1977,Ontario,69700.0,
1977,Manitoba,58800.0,
1977,Saskatchewan,57400.0,
1977,Alberta,68600.0,
1977,British Columbia,68000.0,
1978,Canada,65500.0,
1978,Newfoundland and Labrador,57800.0,
1978,Prince Edward Island,47400.0,
1978,Nova Scotia,55500.0,
1978,New Brunswick,59600.0,
1978,Quebec,63300.0,
1978,Ontario,69800.0,
1978,Manitoba,58500.0,
1978,Saskatchewan,57200.0,
1978,Alberta,69800.0,
1978,British Columbia,66500.0,
1979,Canada,64800.0,
1979,Newfoundland and Labrador,58000.0,
1979,Prince Edward Island,53600.0,
1979,Nova Scotia,55700.0,
1979,New Brunswick,57600.0,
1979,Quebec,61700.0,
1979,Ontario,69200.0,
1979,Manitoba,59500.0,
1979,Saskatchewan,57900.0,
1979,Alberta,67600.0,
1979,British Columbia,66900.0,
1980,Canada,66400.0,
1980,Newfoundland and Labrador,54300.0,
1980,Prince Edward Island,53300.0,
1980,Nova Scotia,57000.0,
1980,New Brunswick,56300.0,
1980,Quebec,61200.0,
1980,Ontario,71300.0,
1980,Manitoba,59200.0,
1980,Saskatchewan,62600.0,
1980,Alberta,71500.0,
1980,British Columbia,71300.0,
1981,Canada,64700.0,
1981,Newfoundland and Labrador,61100.0,
1981,Prince Edward Island,52000.0,
1981,Nova Scotia,55100.0,
1981,New Brunswick,54100.0,
1981,Quebec,59400.0,
1981,Ontario,69800.0,
1981,Manitoba,57400.0,
1981,Saskatchewan,59800.0,
1981,Alberta,71400.0,
1981,British Columbia,68900.0,
1982,Canada,62700.0,
1982,Newfoundland and Labrador,58200.0,
1982,Prince Edward Island,52600.0,
1982,Nova Scotia,53800.0,
1982,New Brunswick,52900.0,
1982,Quebec,58400.0,
1982,Ontario,66000.0,
1982,Manitoba,57400.0,
1982,Saskatchewan,58700.0,
1982,Alberta,71000.0,
1982,British Columbia,65300.0,
1983,Canada,60300.0,
1983,Newfoundland and Labrador,51600.0,
1983,Prince Edward Island,52800.0,
1983,Nova Scotia,51100.0,
1983,New Brunswick,48900.0,
1983,Quebec,57400.0,
1983,Ontario,63600.0,
1983,Manitoba,58500.0,
1983,Saskatchewan,55300.0,
1983,Alberta,65800.0,
1983,British Columbia,62100.0,
1984,Canada,61000.0,
1984,Newfoundland and Labrador,53200.0,
1984,Prince Edward Island,52600.0,
1984,Nova Scotia,54700.0,
1984,New Brunswick,54200.0,
1984,Quebec,57200.0,
1984,Ontario,65800.0,
1984,Manitoba,58500.0,
1984,Saskatchewan,55800.0,
1984,Alberta,63300.0,
1984,British Columbia,59200.0,
1985,Canada,61100.0,
1985,Newfoundland and Labrador,52700.0,
1985,Prince Edward Island,52500.0,
1985,Nova Scotia,54300.0,
1985,New Brunswick,54400.0,
1985,Quebec,57500.0,
1985,Ontario,67200.0,
1985,Manitoba,57600.0,
1985,Saskatchewan,56800.0,
1985,Alberta,64600.0,
1985,British Columbia,58300.0,
1986,Canada,60800.0,
1986,Newfoundland and Labrador,50900.0,
1986,Prince Edward Island,52900.0,
1986,Nova Scotia,53500.0,
1986,New Brunswick,56000.0,
1986,Quebec,55800.0,
1986,Ontario,67700.0,
1986,Manitoba,58000.0,
1986,Saskatchewan,52900.0,
1986,Alberta,63700.0,
1986,British Columbia,61300.0,
1987,Canada,60500.0,
1987,Newfoundland and Labrador,54900.0,
1987,Prince Edward Island,54600.0,
1987,Nova Scotia,56700.0,
1987,New Brunswick,52400.0,
1987,Quebec,55300.0,
1987,Ontario,68900.0,
