year,region,population,status,population_growth_pct
1951,Alberta,950000,,
1952,Alberta,985000,,3.6842105263157787
1953,Alberta,1029000,,4.467005076142128
1954,Alberta,1070000,,3.9844509232264347
1955,Alberta,1102000,,2.990654205607468
1956,Alberta,1136000,,3.085299455535395
1957,Alberta,1179000,,3.785211267605626
1958,Alberta,1221000,,3.562340966921118
1959,Alberta,1263000,,3.439803439803435
1960,Alberta,1307000,,3.4837688044338844
1961,Alberta,1345000,,2.9074215761285327
1962,Alberta,1382000,,2.750929368029742
1963,Alberta,1414000,,2.315484804630974
1964,Alberta,1436000,,1.555869872701554
1965,Alberta,1453000,,1.1838440111420656
1966,Alberta,1470000,,1.169993117687551
1967,Alberta,1501000,,2.1088435374149617
1968,Alberta,1536000,,2.3317788141239193
1969,Alberta,1571000,,2.278645833333326
1970,Alberta,1607000,,2.291534054742206
1971,Alberta,1675638,,4.271188550093341
1972,Alberta,1705519,,1.7832610623535583
1973,Alberta,1735396,,1.7517834747077021
1974,Alberta,1769880,,1.9870968931586797
1975,Alberta,1825051,,3.117216986462368
1976,Alberta,1896466,,3.9130413341873727
1977,Alberta,1974721,,4.12635923871032
1978,Alberta,2047919,,3.7067514853997174
1979,Alberta,2128647,,3.941952782312197
1980,Alberta,2227159,,4.627916230356655
1981,Alberta,2319715,,4.155787709813263
1982,Alberta,2378405,,2.530052183134557
1983,Alberta,2394239,,0.6657402755207764
1984,Alberta,2390913,,-0.13891679151496472
1985,Alberta,2407001,,0.6728810291298792
1986,Alberta,2429949,,0.9533855615348807
1987,Alberta,2437537,,0.31226992829891387
1988,Alberta,2465242,,1.136598131638622
1989,Alberta,2507203,,1.7021047020941538
1990,Alberta,2563142,,2.231131663451258
1991,Alberta,2604031,,1.5952686195302546
1992,Alberta,2643421,,1.5126548032646348
1993,Alberta,2678623,,1.3316834511037046
1994,Alberta,2709011,,1.1344634911295781
1995,Alberta,2745255,,1.3379052355269039
1996,Alberta,2789691,,1.6186474480512691
1997,Alberta,2847526,,2.0731686771043867
1998,Alberta,2915781,,2.3969930388695326
1999,Alberta,2966682,,1.7457072393296968
2000,Alberta,3016947,,1.6943170855521439
2001,Alberta,3078756,,2.0487267426308797
2002,Alberta,3145227,,2.159021370969305
2003,Alberta,3198059,,1.6797515727799528
2004,Alberta,3260721,,1.959375983995293
